,Unnamed: 0,Season,Bat_First,Field_First,Toss_Wins,Bat_Toss,Field_Toss,Win_by_Runs_avg,Win_by_Wickets_avg,Extras,Dots,Singles,Twos,Threes,Fours,Sixs,Total_Runs,Wickets_Taken,M,W,L,NR,Pts,NRR
Twos,0.16556921642254063,0.1696862968912845,0.34474259385475864,0.09253467350983961,0.13778878182279267,0.21166115376929698,-0.0882245177443808,-0.007304738312089164,-0.0914696520078702,-0.06442050616808408,0.2882323735287595,0.5754786182039331,1.0,0.3240487647236838,0.33240764995108074,0.1955132542408005,0.5550239712152403,0.5298454259479328,0.26421625196979937,0.43967240149536885,-0.3122087821581147,-0.16099310976274198,0.4280607021254939,0.3322138622874444
Threes,-0.07001353494129309,-0.07486903148289063,0.18156597446871586,-0.040969734466865346,0.1518395419600427,0.2877299502964201,-0.1513877212162578,0.06748213423383677,-0.0324968394774916,-0.045492094166590585,0.24521522982197178,0.18243364132405443,0.3240487647236838,1.0,0.08249713451962325,-0.022555539958633287,0.15483075941979105,0.21708870775894606,0.20741969524719264,0.11156962103247077,-0.010465549055813258,-0.11580307758473722,0.10030362763432675,0.10123552371548497
Fours,0.07329156581513273,0.08046304413077562,0.29094803048904666,0.23722728766761858,0.3274903922663655,0.11772021784061158,0.1734069598553222,0.2858251610018128,-0.020763718354159168,0.3938805989627292,0.35340952903732364,0.5339271892858638,0.33240764995108074,0.08249713451962325,1.0,0.401605353574931,0.8405007040953092,0.6096609255213157,0.2957108936158885,0.6205752212347855,-0.45114518177795687,-0.3091466372251362,0.5950935554677523,0.5682161038205618
Sixs,0.288847975211621,0.2948765286101014,0.2937989750506832,0.048473703440838393,0.28242930455509996,0.028711991996705866,0.22193205359325455,0.3914238229916468,-0.05879088542305421,0.18112269516656482,0.19567031182777142,0.2739431580905763,0.1955132542408005,-0.022555539958633287,0.401605353574931,1.0,0.7171582363380848,0.4008912091342461,0.02316041661020278,0.35765553910238085,-0.3334582001066121,-0.09362131688576358,0.35235463336818285,0.40772283489407707
Total_Runs,0.20771730489448811,0.21864977272162547,0.4330970051989479,0.20530898560771538,0.38468257263675953,0.2048591398819998,0.1374988719708965,0.31957654175875594,-0.0882029379344091,0.35757535275909064,0.4451435294789616,0.7430046545507343,0.5550239712152403,0.15483075941979105,0.8405007040953092,0.7171582363380848,1.0,0.7284913883593287,0.34243031077423025,0.6634597870645637,-0.4757195926530685,-0.31629428011986815,0.6377951745018872,0.5923179844093707
Wickets_Taken,-0.006207814911125468,-0.006114379663045973,0.2525391812537493,0.3302468219541727,0.43128818087172077,0.25516016779041584,0.12882458141067327,0.3009755598472992,-0.0875403317492384,0.3655538924452792,0.46059437198285785,0.6134036893247999,0.5298454259479328,0.21708870775894606,0.6096609255213157,0.4008912091342461,0.7284913883593287,1.0,0.3384235939882802,0.8015796095435395,-0.6515744893648294,-0.16208960174600578,0.7949977735169949,0.6942629211191812
M,0.02153805088920351,0.00662933648070878,0.21928097787473713,0.20241815974770308,0.20759971844307282,0.31733895095767684,-0.13137203859606003,-0.017046859909410923,-0.10162943089097778,0.02490533133693777,0.6010594059246155,0.5347628742703696,0.26421625196979937,0.20741969524719264,0.2957108936158885,0.02316041661020278,0.34243031077423025,0.3384235939882802,1.0,0.1875983016563946,0.19032109623973983,-0.04222003309207494,0.18558225213696344,0.005123140348560915
W,0.014121852237717478,0.007075952541613924,0.1170269300129471,0.36729349963998154,0.3462275597900819,0.06733177768114929,0.24011828261988763,0.23060670367027614,-0.08854886083917068,0.3997045479722895,0.32034925917563173,0.4867218810128559,0.43967240149536885,0.11156962103247077,0.6205752212347855,0.35765553910238085,0.6634597870645637,0.8015796095435395,0.1875983016563946,1.0,-0.904436495040199,-0.18206010260458944,0.9940258580581905,0.7592945026068426
L,0.003220757144078984,0.00717865264647735,-0.0059362727202163295,-0.27946828759641784,-0.23042176684796492,0.07081578187066413,-0.27475467375554485,-0.27773665443668644,0.07831108114896766,-0.35216503797519805,-0.03749283341910204,-0.2204491823594904,-0.3122087821581147,-0.010465549055813258,-0.45114518177795687,-0.3334582001066121,-0.4757195926530685,-0.6515744893648294,0.19032109623973983,-0.904436495040199,1.0,-0.053033395676987796,-0.9231974135643035,-0.7797593295262591
NR,-0.04301165056658971,-0.053571100190695026,-0.1413009902973718,-0.0810811370608195,-0.19704516585194595,-0.0959529220478274,-0.07935993917872576,0.17268752389598088,-0.1254341734785031,-0.19856832756142648,-0.28979683191609934,-0.3368320929846152,-0.16099310976274198,-0.11580307758473722,-0.3091466372251362,-0.09362131688576358,-0.31629428011986815,-0.16208960174600578,-0.04222003309207494,-0.18206010260458944,-0.053033395676987796,1.0,-0.07365171496932933,0.05109634939783616
Pts,0.009548579977685193,0.0012302871942636397,0.10300835236587316,0.3635217446279282,0.3292839428209491,0.05763944577951765,0.23472730280762324,0.2561698013901626,-0.10398737919480681,0.38335307920082057,0.29274184914683066,0.4562617942454139,0.4280607021254939,0.10030362763432675,0.5950935554677523,0.35235463336818285,0.6377951745018872,0.7949977735169949,0.18558225213696344,0.9940258580581905,-0.9231974135643035,-0.07365171496932933,1.0,0.7757743831545468
NRR,-5.425170829042731e-05,0.0031681838284000623,0.17527083572751254,0.16961865476137733,0.279818306697371,0.03185302407025136,0.21649377617737192,0.49245090930982405,0.07133658427087923,0.42179250352984565,0.017977177833365384,0.29450464957482575,0.3322138622874444,0.10123552371548497,0.5682161038205618,0.40772283489407707,0.5923179844093707,0.6942629211191812,0.005123140348560915,0.7592945026068426,-0.7797593295262591,0.05109634939783616,0.7757743831545468,1.0
